cluster,keyword,intencao,prioridade,tipo_pagina,observacao
seo-local,como aparecer no google maps,informacional,alta,blog,conectar com serviço local
seo-local,seo local para pequenas empresas,comercial,alta,landing,otimizar com prova social
on-page,seo on page checklist,informacional,alta,blog,incluir template download
on-page,meta description exemplos,informacional,média,blog,conteúdo de apoio
landing-page,estrutura landing page,comercial,alta,blog,link para páginas de conversão
landing-page,landing page alta conversão,comercial,alta,landing,casos e benchmarks
tecnico,core web vitals o que é,informacional,média,blog,abrir cluster técnico
tecnico,melhorar lcp cls inp,informacional,alta,blog,checklist técnico
autoridade,titulos seo que convertem,informacional,média,blog,foco em CTR
autoridade,arquitetura da informação seo,informacional,média,blog,interligar com páginas pilares
link-building,estrategias de link building etico,informacional,média,blog,evitar black hat
auditoria,template auditoria seo mensal,informacional,alta,blog,lead magnet
